population,deer,wolves,removal,id,locs
Algonquin ON,4024,36,hybrid,Algonquin ON,E
Algonquin ON 2,2615,27,hybrid,Algonquin ON,E
EC ON,6645,38,in,EC ON,E
Pukaskwa ON,1789,12,in,Pukaskwa ON,E
S QU,6600,28,in,S QU,E
SW QU,2200,14,in,SW QU,E
SW QU,1380,8,in,SW QU,E
N WI,7200,18,in,N WI,M
Isle Royale (all years),12576,44,in,Isle Royale (all years),M
NC MN,6280,39,in,NC MN,M
NC MN2,6170,10,in,NC MN2,M
NE MN,5791,23,in,NE MN,M
NE MN (all years),4572,28,in,NE MN,M
Northeastern MN,9900,42,in,NE MN,M
NW MN,6800,17,recolonize,NW MN,M
SW MB,8740,26,30,SW MB,M
Voyageurs MN,9150,33,in,Voyageurs MN,M
Jasper AB,2730,8,in,Jasper AB,N
Kenai AK,4826,14,in,Kenai AK,N
Denali,2002,6,in,Denali,N
Denali 2,1531,6,in,Denali,N
Denali 3,865,3,in,Denali,N
EC YT,2609,6,recolonize,EC YT,N
Interior AK,1560,9,30,Interior AK,N
N AB,1224,8,in,N AB,N
N AK,2240,7,in,N AK,N
NE AB,1114,6,in,NE AB,N
NW AB,7332,24,in,NW AB,N
NW AK,1324,5,in,NW AK,N
S YT,1556,8,30,S YT,N
SC AK,4612,7,30,SC AK,N
WC YT,1143,7,in,WC YT,N
